指标名称,即期汇率:美元兑人民币
2010/1/4,6.8269
2010/1/5,6.8272
2010/1/6,6.8275
2010/1/7,6.8277
2010/1/8,6.8274
2010/1/11,6.8263
2010/1/12,6.8273
2010/1/13,6.8268
2010/1/14,6.827
2010/1/15,6.8268
2010/1/18,6.8269
2010/1/19,6.8271
2010/1/20,6.827
2010/1/21,6.827
2010/1/22,6.8271
2010/1/25,6.8269
2010/1/26,6.827
2010/1/27,6.8269
2010/1/28,6.8268
2010/1/29,6.8268
2010/2/1,6.8272
2010/2/2,6.827
2010/2/3,6.8267
2010/2/4,6.827
2010/2/5,6.8271
2010/2/8,6.8265
2010/2/9,6.8267
2010/2/10,6.8289
2010/2/11,6.8335
2010/2/12,6.8325
2010/2/22,6.8265
2010/2/23,6.827
2010/2/24,6.8271
2010/2/25,6.827
2010/2/26,6.8261
2010/3/1,6.8263
2010/3/2,6.8267
2010/3/3,6.8257
2010/3/4,6.8263
2010/3/5,6.8264
2010/3/8,6.8265
2010/3/9,6.8264
2010/3/10,6.826
2010/3/11,6.8268
2010/3/12,6.8256
2010/3/15,6.826
2010/3/16,6.8259
2010/3/17,6.826
2010/3/18,6.8261
2010/3/19,6.8264
2010/3/22,6.827
2010/3/23,6.8264
2010/3/24,6.8268
2010/3/25,6.8271
2010/3/26,6.8272
2010/3/29,6.8262
2010/3/30,6.8257
2010/3/31,6.8259
2010/4/1,6.8261
2010/4/2,6.8256
2010/4/6,6.8256
2010/4/7,6.8255
2010/4/8,6.8249
2010/4/9,6.8239
2010/4/12,6.8253
2010/4/13,6.8255
2010/4/14,6.8259
2010/4/15,6.8259
2010/4/16,6.8252
2010/4/19,6.8263
2010/4/20,6.8253
2010/4/21,6.8266
2010/4/22,6.8268
2010/4/23,6.8282
2010/4/26,6.8263
2010/4/27,6.8257
2010/4/28,6.8255
2010/4/29,6.8263
2010/4/30,6.8252
2010/5/4,6.8263
2010/5/5,6.8263
2010/5/6,6.8263
2010/5/7,6.8263
2010/5/10,6.8265
2010/5/11,6.8288
2010/5/12,6.8284
2010/5/13,6.8287
2010/5/14,6.8269
2010/5/17,6.8276
2010/5/18,6.8274
2010/5/19,6.8274
2010/5/20,6.8275
2010/5/21,6.8279
2010/5/24,6.8283
2010/5/25,6.8318
2010/5/26,6.8291
2010/5/27,6.8315
2010/5/28,6.8306
2010/5/31,6.8278
2010/6/1,6.83
2010/6/2,6.8303
2010/6/3,6.8282
2010/6/4,6.8288
2010/6/7,6.8314
2010/6/8,6.8296
2010/6/9,6.8291
2010/6/10,6.8305
2010/6/11,6.8335
2010/6/17,6.829
2010/6/18,6.8267
2010/6/21,6.7976
2010/6/22,6.8136
2010/6/23,6.8124
2010/6/24,6.8018
2010/6/25,6.79
2010/6/28,6.7967
2010/6/29,6.7977
2010/6/30,6.7814
2010/7/1,6.781
2010/7/2,6.7711
2010/7/5,6.7758
2010/7/6,6.7801
2010/7/7,6.7772
2010/7/8,6.7761
2010/7/9,6.7735
2010/7/12,6.7711
2010/7/13,6.772
2010/7/14,6.7745
2010/7/15,6.7785
2010/7/16,6.775
2010/7/19,6.778
2010/7/20,6.7781
2010/7/21,6.7769
2010/7/22,6.78
2010/7/23,6.7803
2010/7/26,6.7795
2010/7/27,6.7786
2010/7/28,6.778
2010/7/29,6.7761
2010/7/30,6.775
2010/8/2,6.7742
2010/8/3,6.773
2010/8/4,6.7736
2010/8/5,6.7719
2010/8/6,6.7683
2010/8/9,6.7671
2010/8/10,6.772
2010/8/11,6.775
2010/8/12,6.7851
2010/8/13,6.7957
2010/8/16,6.8082
2010/8/17,6.7921
2010/8/18,6.7917
2010/8/19,6.7902
2010/8/20,6.7902
2010/8/23,6.8003
2010/8/24,6.7972
2010/8/25,6.7986
2010/8/26,6.7998
2010/8/27,6.7982
2010/8/30,6.803
2010/8/31,6.8074
2010/9/1,6.8115
2010/9/2,6.8084
2010/9/3,6.8038
2010/9/6,6.7874
2010/9/7,6.7914
2010/9/8,6.7943
2010/9/9,6.7832
2010/9/10,6.7692
2010/9/13,6.7618
2010/9/14,6.7463
2010/9/15,6.7422
2010/9/16,6.7248
2010/9/17,6.7235
2010/9/20,6.7143
2010/9/21,6.7079
2010/9/27,6.6923
2010/9/28,6.6906
2010/9/29,6.6868
2010/9/30,6.6912
2010/10/8,6.6706
2010/10/11,6.6678
2010/10/12,6.6734
2010/10/13,6.6641
2010/10/14,6.6508
2010/10/15,6.6407
2010/10/18,6.6441
2010/10/19,6.6447
2010/10/20,6.6519
2010/10/21,6.6504
2010/10/22,6.659
2010/10/25,6.6581
2010/10/26,6.6627
2010/10/27,6.6806
2010/10/28,6.6874
2010/10/29,6.6708
2010/11/1,6.7015
2010/11/2,6.6777
2010/11/3,6.6761
2010/11/4,6.6635
2010/11/5,6.6566
2010/11/8,6.6781
2010/11/9,6.644
2010/11/10,6.6337
2010/11/11,6.6257
2010/11/12,6.637
2010/11/15,6.6455
2010/11/16,6.6379
2010/11/17,6.6425
2010/11/18,6.6336
2010/11/19,6.6395
2010/11/22,6.6416
2010/11/23,6.6449
2010/11/24,6.6543
2010/11/25,6.6508
2010/11/26,6.6675
2010/11/29,6.6606
2010/11/30,6.667
2010/12/1,6.6634
2010/12/2,6.6613
2010/12/3,6.6633
2010/12/6,6.6484
2010/12/7,6.6446
2010/12/8,6.6617
2010/12/9,6.655
2010/12/10,6.6556
2010/12/13,6.667
2010/12/14,6.6551
2010/12/15,6.6555
2010/12/16,6.6633
2010/12/17,6.6555
2010/12/20,6.6745
2010/12/21,6.6589
2010/12/22,6.6461
2010/12/23,6.6431
2010/12/24,6.627
2010/12/27,6.6308
2010/12/28,6.6248
2010/12/29,6.6212
2010/12/30,6.6008
2010/12/31,6.5897
2011/1/4,6.6088
2011/1/5,6.619
2011/1/6,6.6265
2011/1/7,6.628
2011/1/10,6.6377
2011/1/11,6.62
2011/1/12,6.6038
2011/1/13,6.6046
2011/1/14,6.59
2011/1/17,6.593
2011/1/18,6.5829
2011/1/19,6.5824
2011/1/20,6.5854
2011/1/21,6.5833
2011/1/24,6.5813
